user,total_pnl_usd,trade_count,market_groups_traded,primary_group
0x9a753d12065a8143ac69ea1732f67daab67b4347,100717.969117,12473,38,nfl_game&nhl_game
0x79ed692f072adcee0972888f2e4dd130c25121ab,99708.51696,15,1,other
0x02547dd8455167296eb872d47cbf88de0d1434b3,98747.034946,320,7,esports_match
0xf98b622967de1bfc84585ea7abdf1f9199a3bfc5,98648.152426,17803,8,crypto_launch
0x821d0fcf5643c18c663c8960bf79fdbc9f6d0a01,98584.729616,1011,19,nfl_game
0xfeb581080aee6dc26c264a647b30a9cd44d5a393,98161.871953,10567,22,crypto_launch
0x94a16d28320dca00e581e19011e60c321dcfec2f,97455.970508,2076,22,esports_match
0x62d2bcd198bb6eab8b7eeb9d2061815dc02b9eb7,96893.5790757201,10922,93,us_politics_events&us_politics_figures
0x71a70f24538d885d1b45f9cea158a2cdf2e56fcf,96611.670466,5049,2,other
0x6bab41a0dc40d6dd4c1a915b8c01969479fd1292,96578.99682200003,2882,55,us_politics_events&us_politics_figures
0xdbb9b3616f733e19278d1ca6f3207a8344b5ed8d,94455.15170400002,20035,80,mlb_game
0xfb79181a9d9dcaceda40803c0aeb55f6c58ec2c6,93992.67297,2328,18,soccer_game
0xfefb4ab20c207f11278c222e5276546727f74b5d,93807.07878899999,25603,72,other
0x45d77f9e9a3215fa5aaf74888ba22348c340bc74,93747.158395,9,1,other
0x4231e98f3b1044c3b34bf19cb27b9441d157f63e,92591.401843,30547,42,other
0x9b3dcd99eec7fe11602e6534e6302c0f318d7422,92284.05373000001,81,4,nhl_game
0x11fcbba836d927c5fe6e6a6a64c9c0461e33dc48,90149.11507700002,113,4,other
0x92672c80d36dcd08172aa1e51dface0f20b70f9a,88210.98885550002,2371,31,mlb_game
0x843d4870ab4aa0be9b9ee4acd6f98b1669a2e617,87630.318977,510,14,other
0x522402d9f9b721b5155a6136df3c112200810de8,86308.028655,286,5,nba_game
0x2b15b1cab8917d786e44765002a07a78ee8c9b08,85732.95932899999,2518,7,other
0xe40172522c7c64afa2d052ddae6c92cd0f417b88,85713.56743700002,92755,39,mlb_game
0x76062e7bbfc0fb783487ff884960c4bc17962836,85386.756227,935,12,other
0xc8b438e4a1c10643ea0ea3e59bcaadc73174f05d,83798.42164450002,3411,28,other
0xd189664c5308903476f9f079820431e4fd7d06f4,83602.25559600005,54327,77,crypto_launch
0x64108693c93f94b2d15f40fed8a134fb2cf61ff4,83354.54187500001,4083,9,nba_game
0x38fa3750d2adf66081ec958d0915b785e7750aac,82659.081908,38,2,mlb_game
0x7189594cbf2bcdb33e2d73b43399b82e6c1db454,82387.405165,378,6,nfl_game
0x21504551452f4c4b67a1fbee6ba743a611cdba16,82376.15978700001,68488,2,crypto_launch
0x17525891a4ed52520ad75dac8ed5f32a58be7993,82355.62256999999,19254,96,mlb_game
0x2c335066fe58fe9237c3d3dc7b275c2a034a0563,82330.09833349998,2402,20,other
0xf14f76c1405eb86cbe1d1befa8a2d5645f2eab58,81601.317339,7,1,golf_tour
0xc9966221540a89efa8063572555c2d690ee8bb65,81061.55080700002,11683,33,other
0xaaf4acafbb7980ce93631d238eb10a5c4ca67883,80691.43422992768,12882,85,us_politics_figures
0xe4e2b203b9d50dacc3e640e319df8b999164f26c,80155.59021,224,7,us_politics_events&us_politics_figures
0x97e12cc7391a50e49042b44a2d4a0cef54c8017b,80122.173282,24239,81,mlb_game
0xdefe23b9f2631280df4b18e43beef527150e5432,79639.92820300002,552,16,nfl_game
0xe34fa89ce3a484cb9543a6f116133ffad8b9d79c,79106.20444300005,21754,2,crypto_launch
0x7c3db723f1d4d8cb9c550095203b686cb11e5c6b,78271.7244345,12804,118,us_politics_figures
0x028f0762a67dd4df3cbfd71f05dc6c579a71f5ab,77892.491721,9934,2,other
0xa9e8faf20424f3efbf12abaea0e7069d7546c443,75942.11346200004,9460,29,crypto_launch
